全局熵,LEDI,边缘密度,局部熵均值,局部熵标准差,局部熵最大值,局部熵90分位数,局部熵中位数,图像路径,类别编号,图像来源
7.012654592,0.216619132,0.000282312,1.519075149,1.217482004,6.182382256,3.218906986,1.375753809,C:\Users\GHOST_AKU\Desktop\input\deepth\131\1743513855130_depth.png,131,deepth
6.999661291,0.212410522,0.000272109,1.486801708,1.214803959,6.117627781,3.191632372,1.34923959,C:\Users\GHOST_AKU\Desktop\input\deepth\131\1743513876076_depth.png,131,deepth
7.089298171,0.166674041,6.25E-05,1.181601977,0.894224576,5.734670373,2.238589541,1.101238889,C:\Users\GHOST_AKU\Desktop\input\deepth\145\1743513901474_depth.png,145,deepth
7.102323412,0.201618829,0.001000595,1.431962133,1.282099111,6.191701855,3.265510872,1.253801391,C:\Users\GHOST_AKU\Desktop\input\deepth\153\1743513982812_depth.png,153,deepth
7.071409842,0.208269672,0.000696512,1.472760205,1.310768541,6.167010497,3.334388711,1.306932439,C:\Users\GHOST_AKU\Desktop\input\deepth\153\1743514005225_depth.png,153,deepth
7.071899985,0.208444343,0.000692955,1.474097544,1.293197276,6.117627781,3.28129834,1.351486825,C:\Users\GHOST_AKU\Desktop\input\deepth\153\1743514030554_depth.png,153,deepth
6.811304607,0.194408942,0.000775851,1.324178525,1.162758132,6.142319139,2.926321176,1.075267432,C:\Users\GHOST_AKU\Desktop\input\deepth\164\1743514050582_depth.png,164,deepth
6.815257437,0.190133679,0.000822181,1.295809968,1.149096166,6.182382256,2.885886018,1.016221373,C:\Users\GHOST_AKU\Desktop\input\deepth\164\1743514068601_depth.png,164,deepth
6.865483302,0.190094637,0.000827319,1.305091555,1.12162905,6.142319139,2.810231824,1.072463646,C:\Users\GHOST_AKU\Desktop\input\deepth\164\1743514085429_depth.png,164,deepth
7.0434036,0.200236394,0.000255299,1.410345739,0.995415669,5.941520836,2.527190037,1.446084792,C:\Users\GHOST_AKU\Desktop\input\deepth\21\1743513445861_depth.png,21,deepth
7.025522413,0.202527494,7.40E-05,1.422861449,0.988534478,5.975531793,2.536292362,1.451155386,C:\Users\GHOST_AKU\Desktop\input\deepth\21\1743513473989_depth.png,21,deepth
7.047829965,0.200466152,0.000143344,1.412851353,1.015804112,5.935468676,2.521052329,1.43275132,C:\Users\GHOST_AKU\Desktop\input\deepth\21\1743513499366_depth.png,21,deepth
7.079388723,0.214275635,0.000510972,1.516940514,1.167324492,5.935468676,2.950499031,1.485671911,C:\Users\GHOST_AKU\Desktop\input\deepth\68\1743513520951_depth.png,68,deepth
7.110904426,0.212067645,0.000576583,1.507992755,1.219742769,5.984851392,3.094906366,1.447093923,C:\Users\GHOST_AKU\Desktop\input\deepth\68\1743513543561_depth.png,68,deepth
7.103747134,0.207275662,0.001581631,1.472433891,1.228969793,5.960160034,3.141288789,1.361936304,C:\Users\GHOST_AKU\Desktop\input\deepth\68\1743513576925_depth.png,68,deepth
7.138570063,0.210437159,0.000344903,1.502220401,1.092801746,5.975531793,2.878973929,1.453808959,C:\Users\GHOST_AKU\Desktop\input\deepth\7\1743513358510_depth.png,7,deepth
7.144698804,0.209412814,0.000253188,1.496191481,1.092445983,5.910777318,2.909209524,1.446084792,C:\Users\GHOST_AKU\Desktop\input\deepth\7\1743513385553_depth.png,7,deepth
7.141145412,0.207558712,0,1.482206941,1.067341463,5.935468676,2.81263639,1.447570001,C:\Users\GHOST_AKU\Desktop\input\deepth\7\1743513408234_depth.png,7,deepth
6.671509418,0.193675978,0.001846893,1.292111109,1.235987068,5.975531793,3.055259896,0.994475215,C:\Users\GHOST_AKU\Desktop\input\deepth\79\1743513597933_depth.png,79,deepth
6.672474753,0.191540054,0.001969378,1.278046172,1.217544128,5.926149077,2.992026835,0.99107606,C:\Users\GHOST_AKU\Desktop\input\deepth\79\1743513614511_depth.png,79,deepth
6.694265844,0.191761783,0.001957193,1.283704355,1.226765315,6.018862349,3.021363966,0.994605981,C:\Users\GHOST_AKU\Desktop\input\deepth\79\1743513639110_depth.png,79,deepth
